County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,Student Group,GradeLevel,DisciplineDenominator,DisciplineNumerator,DisciplineRate
Pierce,"27,400",Clover Park School District,"5,027",General William H. Harrison Preparatory School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Clark,"6,114",Evergreen School District (Clark),"1,646",49th Street Academy,S,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Thurston,"34,033",Tumwater School District,"4,500",A G West Black Hills High School,P,All Students,12th Grade,199,7,3.50%
Spokane,"32,081",Spokane School District,"1,533",A-3 Multiagency Adolescent Prog,I,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Pierce,"27,403",Bethel School District,"5,372",Acceleration Academy,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Snohomish,"31,006",Mukilteo School District,"4,247",ACES High School,A,All Students,12th Grade,107,6,5.60%
Lewis,"21,226",Adna School District,"2,441",Adna Middle/High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Snohomish,"31,201",Snohomish School District,"4,265",AIM High School,A,All Students,12th Grade,110,5,4.50%
Pierce,"27,400",Clover Park School District,"1,825",Alfaretta House,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Grant,"13,151",Coulee-Hartline School District,"2,968",Almira Coulee Hartline High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Skagit,"29,103",Anacortes School District,"2,467",Anacortes High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Snohomish,"31,016",Arlington School District,"2,523",Arlington High School,P,All Students,12th Grade,424,9,2.10%
Snohomish,"31,016",Arlington School District,"5,495",Arlington Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Snohomish,"31,016",Arlington School District,"2,277",Arlington Special Educ School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Asotin,"2,420",Asotin-Anatone School District,"2,434",Asotin Jr Sr High,P,All Students,12th Grade,62,6,9.70%
King,"17,408",Auburn School District,"5,037",Auburn Mountainview High School,P,All Students,12th Grade,400,18,4.50%
King,"17,408",Auburn School District,"5,522",Auburn Opportunity Project,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
King,"17,408",Auburn School District,"4,474",Auburn Riverside High School,P,All Students,12th Grade,375,16,4.30%
King,"17,408",Auburn School District,"2,795",Auburn Senior High School,P,All Students,12th Grade,435,20,4.60%
Thurston,"34,111",Olympia School District,"1,768",Avanti High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Kitsap,"18,303",Bainbridge Island School District,"2,395",Bainbridge High School,P,All Students,12th Grade,296,6,2.00%
King,"17,001",Seattle School District #1,"2,220",Ballard High School,P,All Students,12th Grade,477,7,1.50%
Kitsap,"18,401",Central Kitsap School District,"5,472",Barker Creek Community School,A,All Students,12th Grade,154,4,2.60%
Pierce,"27,931",Bates Technical College,"5,950",Bates Technical High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Clark,"6,119",Battle Ground School District,"2,415",Battle Ground High School,P,All Students,12th Grade,524,23,4.40%
King,"17,405",Bellevue School District,"5,240",Bellevue Big Picture School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,405",Bellevue School District,"2,701",Bellevue High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Whatcom,"37,501",Bellingham School District,"2,553",Bellingham High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Whatcom,"37,501",Bellingham School District,"5,340",Bellingham Re-Engagement Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Benton,"3,017",Kennewick School District,"5,235",Benton County Jail,J,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Benton,"3,017",Kennewick School District,"4,007",Benton/Franklin Juvenile Justice Center,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,403",Bethel School District,"2,807",Bethel High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,4.90%
Klickitat,"20,203",Bickleton School District,"3,392",Bickleton Elementary & High Schl,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,401",Highline School District,"5,028",Big Picture School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
Whatcom,"37,503",Blaine School District,"3,136",Blaine High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Whatcom,"37,503",Blaine School District,"5,465",Blaine Re-Engagement,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,320",Sumner School District,"4,585",Bonney Lake High School,P,All Students,12th Grade,350,10,2.90%
King,"17,417",Northshore School District,"3,106",Bothell High School,P,All Students,12th Grade,349,11,3.20%
Kitsap,"18,100",Bremerton School District,"3,109",Bremerton High School,P,All Students,12th Grade,285,12,4.20%
Okanogan,"24,111",Brewster School District,"5,272",Brewster Alternative School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Okanogan,"24,111",Brewster School District,"2,800",Brewster High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Douglas,"9,075",Bridgeport School District,"1,900",Bridgeport Aurora High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Douglas,"9,075",Bridgeport School District,"2,788",Bridgeport High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
King,"17,001",Seattle School District #1,"5,406",Bridges Transition,S,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Spokane,"32,081",Spokane School District,"3,008",Bryant Center,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Skagit,"29,100",Burlington-Edison School District,"2,362",Burlington Edison High School,P,All Students,12th Grade,281,8,2.80%
Skagit,"29,100",Burlington-Edison School District,"1,928",Burlington-Edison Alternative School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Clark,"6,119",Battle Ground School District,"1,836",CAM Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Clark,"6,117",Camas School District,"4,567",Camas High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Douglas,"9,206",Eastmont School District,"2,986",Canyon View Group Home,I,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Skagit,"29,103",Anacortes School District,"5,176",Cap Sante High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Thurston,"34,111",Olympia School District,"3,960",Capital High School,P,All Students,12th Grade,351,7,2.00%
Kitsap,"18,100",Bremerton School District,"5,395",Career & Academic Re-engagement Center,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
King,"17,210",Federal Way School District,"5,163",Career Academy at Truman High School,A,All Students,12th Grade,47,6,12.80%
King,"17,405",Bellevue School District,"5,325",Career Education Options Reengagement Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Chelan,"4,228",Cascade School District,"3,564",Cascade High School,P,All Students,12th Grade,105,4,3.80%
Snohomish,"31,002",Everett School District,"3,407",Cascade High School,P,All Students,12th Grade,466,15,3.20%
King,"17,001",Seattle School District #1,"1,751",Cascade Parent Partnership Program,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Chelan,"4,222",CASHMERE SCHOOL DISTRICT,"3,268",CASHMERE HIGH SCHOOL,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Cowlitz,"8,401",Castle Rock School District,"2,281",Castle Rock High School,P,All Students,12th Grade,116,4,3.40%
King,"17,407",Riverview School District,"3,524",Cedarcrest High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
King,"17,405",Bellevue School District,"5,281",Central Educational Services,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Kitsap,"18,401",Central Kitsap School District,"2,615",Central Kitsap High School,P,All Students,12th Grade,366,6,1.60%
Spokane,"32,356",Central Valley School District,"3,065",Central Valley High School,P,All Students,12th Grade,552,25,4.50%
Lewis,"21,401",Centralia School District,"2,166",Centralia High School,P,All Students,12th Grade,294,21,7.10%
Pierce,"27,403",Bethel School District,"1,510",Challenger High School,A,All Students,12th Grade,176,4,2.30%
Asotin,"2,250",Clarkston School District,"2,299",Charles Francis Adams High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Chelan,"4,246",Wenatchee School District,"1,802",Chelan County Juvenile Detention Center,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Chelan,"4,129",Lake Chelan School District,"4,260",Chelan High School,P,All Students,12th Grade,121,4,3.30%
Chelan,"4,129",Lake Chelan School District,"1,940",Chelan School of Innovation,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Spokane,"32,360",Cheney School District,"3,610",Cheney High School,P,All Students,12th Grade,292,10,3.40%
Spokane,"32,360",Cheney School District,"5,396",Cheney Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Stevens,"33,036",Chewelah School District,"5,523",Chewelah Open Doors Reengagement Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Franklin,"11,001",Pasco School District,"5,164",Chiawana Senior High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Kitsap,"18,902",Suquamish Tribal Education Department,"5,319",Chief Kitsap Academy,Q,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,901",Chief Leschi Schools,"5,549",Chief Leschi Schools,Q,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
King,"17,001",Seattle School District #1,"3,096",Chief Sealth International High School,P,All Students,12th Grade,281,5,1.80%
Jefferson,"16,049",Chimacum School District,"3,275",Chimacum Junior/Senior High School,P,All Students,12th Grade,83,6,7.20%
King,"17,401",Highline School District,"1,539",CHOICE Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Kitsap,"18,400",North Kitsap School District,"5,546",Choice Academy,A,All Students,12th Grade,18,2,11.10%
Mason,"23,309",Shelton School District,"4,288",Choice Middle and High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Clallam,"5,401",Cape Flattery School District,"3,422",Clallam Bay High & Elementary,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Kitsap,"18,801",ESD 114 acting as a school district,"3,143",Clallam Co Juvenile Detention,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Clark,"6,801",ESD 112 acting as a school district,"5,290",Clark County Juvenile Detention School,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Kittitas,"19,404",Cle Elum-Roslyn School District,"2,329",Cle Elum Roslyn High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
King,"17,001",Seattle School District #1,"2,392",Cleveland High School STEM,P,All Students,12th Grade,226,3,1.30%
King,"17,407",Riverview School District,"1,756",CLIP,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,400",Clover Park School District,"2,425",Clover Park High School,P,All Students,12th Grade,297,13,4.40%
Whitman,"38,300",Colfax School District,"3,366",Colfax High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Walla Walla,"36,250",College Place School District,"5,362",College Place High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Whitman,"38,306",Colton School District,"2,588",Colton School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Grant,"13,161",Moses Lake School District,"5,273",Columbia Basin Technical Skills Center,V,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Stevens,"33,206",Columbia (Stevens) School District,"3,508",Columbia High And Elementary,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Walla Walla,"36,400",Columbia (Walla Walla) School District,"4,049",Columbia High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Klickitat,"20,405",White Salmon Valley School District,"2,330",Columbia High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Clark,"6,037",Vancouver School District,"3,423",Columbia River High,P,All Students,12th Grade,331,13,3.90%
Stevens,"33,212",Kettle Falls School District,"5,180",Columbia Virtual Academy - Kettle Falls,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Stevens,"33,115",Colville School District,"3,310",Colville Senior High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Pierce,"27,010",Tacoma School District,"1,585",Comm Based Trans Program,S,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Yakima,"39,202",Toppenish School District,"1,508",Computer Academy Toppenish High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Skagit,"29,011",Concrete School District,"2,810",Concrete High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Franklin,"11,051",North Franklin School District,"3,272",Connell High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Yakima,"39,200",Grandview School District,"1,776",Contract Learning Center,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Snohomish,"31,015",Edmonds School District,"1,830",Contracted Schools,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,414",Lake Washington School District,"1,649",Contractual Schools,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Island,"15,204",Coupeville School District,"2,625",Coupeville High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Clark,"6,801",ESD 112 acting as a school district,"3,294",Cowlitz County Youth Services Center,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Lewis,"21,237",Toledo School District,"5,190",Cowlitz Prairie Academy,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,400",Clover Park School District,"5,411",CPSD Open Doors Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Franklin,"11,051",North Franklin School District,"5,499",CRCC-Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Clallam,"5,313",Crescent School District,"3,473",Crescent School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Lincoln,"22,073",Creston School District,"2,863",Creston Jr-Sr High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Jefferson,"16,048",Quilcene School District,"5,081",Crossroads Community School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Snohomish,"31,332",Granite Falls School District,"5,171",Crossroads High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Ferry,"10,050",Curlew School District,"2,006",Curlew Elem & High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
